size,price
75.0,370.0
106.0,1650.0
58.0,310.0
72.0,615.0
42.0,225000.0
40.0,330.0
110.0,850.0
128.0,845.0
65.0,605.627
75.0,380.0
40.0,352.0
58.0,235.0
220.0,900.0
60.0,350.0
34.0,289.0
62.0,252.377
62.0,450.0
100.0,990.0
170.0,1600.0
250.0,1000.0
402.0,5000.0
995.0,1650.0
28.0,210.0
80.0,640.0
421.0,8900.0
180.0,585.0
42.0,378.0
95.0,398.0
135.0,890.0
90.0,850.0
167.0,1100.0
180.0,1800.0
27.0,169.9
52.0,250.0
100.0,850.0
120.0,650.0
85.0,618.0
56.0,258.99
61.0,284.0
350.0,1200.0
216.0,1650.0
52.0,195.0
310.0,2390.0
55.0,370.0
65.0,650.0
48.0,305.0
42.0,500.0
97.0,998.0
30.0,288.5
63.0,390.0
73.0,475.0
67.0,435.0
150.0,375.0
35.0,425.0
83.0,1139.2
76.0,510.0
120.0,1200.0
70.0,650.0
104.0,1200.0
181.0,1235.7
62.0,330.0
134.0,1160.0
96.0,960.0
45.0,270.0
180.0,890.0
51.0,370.0
70.0,450.0
82.0,632.0
60.0,430.0
48.0,275.0
170.0,1200.0
243.0,2567.9
221.0,1938.0
198.0,700.0
44.0,340.0
76.0,710.0
310.0,3375.842
155.0,2500.0
202.0,1990.0
214.0,1600.0
55.0,289.0
126.0,900.0
75.0,465.0
43.0,265.0
200.0,1596.0
173.0,1750.0
120.0,380.0
38.0,420.0
173.0,2850.0
75.0,530.0
74.0,530.0
179.0,2649.0
108.0,900.0
45.0,405.0
133.0,950.0
205.0,2160.0
120.0,360.0
202.0,2129.0
67.0,500.0
213.0,2400.0
157.0,750.0
74.0,670.0
62.0,575.0
51.0,450.0
88.0,1150.0
190.0,1150.0
112.0,1300.0
175.0,5000.0
35.0,625.0
55.0,330.0
147.0,1460.0
148.0,2100.0
85.0,550.0
141.0,810.0
40.0,670.0
194.0,2390.0
65.0,475.0
105.0,660.0
85.0,860.0
115.0,499.0
300.0,3500.0
86.0,600.0
58.0,288.0
50.0,590.0
103.0,860.0
57.0,398.0
70.0,480.0
82.0,739.0
199.0,2140.0
88.0,849.8
192.0,1580.0
289.0,2000.0
82.0,585.0
30.0,321.0
30.0,650.0
170.0,900.0
68.0,510.0
300.0,3950.0
216.0,3700.0
100.0,620.0
570.0,16890.0
120.0,1300.0
66.0,370.0
50.0,424.0
25.0,270.0
55.0,530.0
115.0,990.0
30.0,346.0
55.0,225.0
72.0,890.0
185.0,2100.0
110.0,635.0
61.0,350.0
45.0,1019.0
70.0,554.0
150.0,1300.0
218.0,1500.0
190.0,850.0
112.0,700.0
325.0,7500.0
104.0,570.0
300.0,450.0
142.0,1260.0
192.0,1840.0
545.0,5886.0
34.0,585.0
50.0,340.0
171.0,2500.0
178.0,2300.0
43.0,390.0
187.0,2800.0
54.0,320.0
93.0,745.0
75.0,430.0
50.0,375.0
93.0,550.0
51.0,420.0
142.0,689.0
160.0,1580.0
57.0,300.0
98.0,510.0
121.0,980.0
107.0,1340.0
50.0,350.0
88.0,780.0
61.0,400.0
384.0,3590.0
51.0,585.0
98.0,450.0
222.0,2480.0
177.0,1757.9
78.0,760.0
62.0,498.0
225.0,3180.0
124.0,850.0
200.0,2470.0
214.0,1650.0
85.0,1200.0
57.0,315.0
27.0,290.0
45.0,280.8
60.0,480.0
70.0,625.0
100.0,450.0
75.0,370.0
400.0,8500.0
72.0,380.0
30.0,260.0
77.0,790.0
70.0,380.0
55.0,240.0
80.0,260.0
67.0,420.0
141.0,1100.0
58.0,615.0
55.0,440.0
245.0,5500.0
105.0,690.0
100.0,815.0
103.0,699.9
27.0,410.0
250.0,700.0
60.0,330.0
75.0,900.0
79.0,550.0
60.0,450.0
38.0,435.0
52.0,200.0
160.0,1600.0
65.0,320.0
30.0,240.0
150.0,1400.0
82.0,760.0
43.0,365.0
157.0,1650.0
163.0,1490.0
15.0,215.0
162.0,1650.0
96.0,830.0
49.0,240.0
87.0,640.0
65.0,950.0
78.0,545.0
200.0,660.0
32.0,270.0
52.0,510.0
60.0,345.0
65.0,370.0
38.0,500.0
34.0,299.0
154.0,1820.0
65.0,289.0
130.0,1240.0
174.0,1350.0
107.0,840.0
130.0,870.0
65.0,319.99
282.0,1100.0
122.0,766.077
210.0,1500.0
67.0,255.0
136.0,630.0
110.0,680.0
80.0,390.0
110.0,900.0
68.0,455.0
46.0,477.0
60.0,800.0
40.0,230.0
96.0,1280.0
40.0,530.0
107.0,930.0
237.0,2480.0
48.0,170.0
75.0,480.0
103.0,900.0
92.0,600.0
170.0,690.0
106.0,795.0
439.0,3800.0
95.0,430.0
40.0,400.0
80.0,510.0
199.0,600.0
350.0,1800.0
178.0,1400.0
64.0,275.0
50.0,250.0
67.0,440.0
28.0,270.0
59.0,695.5
53.0,270.0
86.0,760.0
135.0,1350.0
55.0,320.0
35.0,290.0
37.0,450.0
86.0,795.0
130.0,1390.0
45.0,550.0
103.0,654.0
134.0,1450.0
100.0,519.4
112.0,1150.0
40.0,191.799
106.0,1150.0
340.0,2200.0
90.0,610.0
55.0,240.0
210.0,599.0
200.0,650.0
263.0,1300.0
130.0,600.0
117.0,1000.0
125.0,990.0
118.0,930.0
85.0,694.0
212.0,2950.0
70.0,590.0
132.0,960.0
74.0,470.0
162.0,599.0
46.0,159.0
130.0,430.0
140.0,1780.0
120.0,750.0
100.0,445.0
93.0,950.0
130.0,1250.0
151.0,1350.0
42.0,195.0
67.0,344.0
48.0,570.0
3.0,10000.0
44.0,330.0
50.0,355.0
60.0,344.0
98.0,750.0
45.0,185000.0
40.0,335.0
307.0,6000.0
390.0,4900.0
348.0,3500.0
400.0,2800.0
52.0,428.36
112.0,1118.0
72.0,600.0
128.0,1166.0
105.0,750.0
84.0,595.0
502.0,14000.0
50.0,255.0
290.0,1980.0
84.0,599.0
173.0,550.0
78.0,1200.0
95.0,589.0
38.0,195.0
60.0,400.0
245.0,5500.0
68.0,620.0
194.0,1290.0
108.0,1499.0
300.0,700.0
100.0,655.0
535.0,1600.0
312.0,2800.0
62.0,250.0
48.0,240.0
60.0,470.0
197.0,1950.0
174.0,445.0
53.0,225.0
67.0,530.0
63.0,465.0
44.0,335.0
200.0,700.0
250.0,650.0
80.0,750.0
110.0,900.0
107.0,719.9
111.0,1014.0
60.0,384.75
216.0,780.0
254.0,707.0
66.0,530.0
70.0,795.0
65.0,240.0
60.0,319.9
108.0,795.0
115.0,1120.0
84.0,850.0
380.0,2650.0
150.0,1750.0
220.0,1600.0
42.0,630.0
27.0,460.0
33.0,290.0
58.0,464.8
84.0,849.0
140.0,550.0
63.0,420.0
82.0,490.0
160.0,2700.0
70.0,650.0
250.0,1350.0
57.0,750.0
29.0,200.0
62.0,350.0
696.0,3200.0
420.0,699.0
52.0,650.0
200.0,800.0
124.0,370.0
82.0,630.0
27.0,374.5
94.0,900.0
155.0,1325.0
154.0,1700.0
149.0,1200.0
106.0,650.0
45.0,169.0
160.0,1100.0
95.0,690.0
253.0,1500.0
184.0,1115.0
37.0,203.5
103.0,745.0
40.0,265.0
36.0,380.0
80.0,1200.0
54.0,345.0
208.0,2450.0
440.0,2800.0
94.0,620.0
55.0,753.0
180.0,2300.0
60.0,430.0
106.0,697.0
157.0,1300.0
85.0,1100.0
78.0,580.0
32.0,210.0
40.0,380.0
400.0,5900.0
55.0,320.0
60.0,380.0
166.0,580.0
200.0,870.0
161.0,1340.0
140.0,1400.0
33.0,400.0
279.0,1330.0
108.0,1166.0
68.0,420.0
250.0,1590.0
48.0,460.0
55.0,360.0
64.0,280.0
132.0,1080.0
60.0,0.43
137.0,1378.0
163.0,1200.0
58.0,450.0
64.0,509.0
68.0,385.0
34.0,281.3
150.0,500.0
63.0,434.6
120.0,1303.8
165.0,1700.0
100.0,770.0
120.0,530.0
34.0,270.0
213.0,2326.0
250.0,1178.0
200.0,1990.0
113.0,684.802
105.0,1300.0
150.0,599.0
65.0,210.0
34.0,280.0
55.0,210.0
170.0,760.0
210.0,2500.0
142.0,990.0
70.0,409.0
90.0,360.0
248.0,4600.0
74.0,540.0
110.0,430.0
77.0,440.0
56.0,390.0
125.0,900.0
140.0,1400.0
104.0,820.0
250.0,2500.0
44.0,540.0
123.0,1000.0
45.0,450.0
40.0,805.0
28.0,264.9
97.0,760.0
66.0,323.0
125.0,1390.0
40.0,640.0
243.0,2567.9
68.0,400.0
142.0,1280.0
80.0,568.0
120.0,1250.0
146.0,975.0
250.0,2599.52
75.0,920.0
133.0,800.0
166.0,750.0
62.0,247.0
165.0,970.0
30.0,240.0
46.0,310.0
96.0,880.0
47.0,410.0
99.0,479.9
300.0,1000.0
65.0,411.135
63.0,495.0
70.0,435.0
41.0,174.8
89.0,600.0
120.0,1560.0
39.0,235.0
50.0,330.0
90.0,399.0
101.0,750.0
50.0,350.0
32.0,330.0
62.0,395.0
60.0,957.0
350.0,1700.0
105.0,780.0
61.0,550.0
43.0,215.0
59.0,622.45
56.0,339.2
130.0,850.0
364.0,6600.0
77.0,985.0
73.0,360.0
98.0,705.0
200.0,1890.0
52.0,580.0
57.0,582.5
6.093,60930.0
88.0,720.0
68.0,338.0
59.0,445.0
235.0,2700.0
58.0,695.0
70.0,424.0
160.0,750.0
73.0,595.0
105.0,850.0
25.0,270.0
131.0,760.0
420.0,3800.0
450.0,2710.0
157.0,1600.0
450.0,2900.0
350.0,1800.0
83.0,560.0
241.0,750.0
220.0,1280.0
65.0,450.0
68.0,415.0
55.0,269.0
92.0,935.0
222.0,2890.0
51.0,300.0
152.0,1150.0
43.0,155.0
109.0,500.0
269.0,3800.0
40.0,179.0
98.0,920.0
134.0,1290.0
46.0,279.0
86.0,680.0
127.0,1200.0
70.0,530.0
48.0,220.0
140.0,950.0
94.0,830.0
93.0,885.0
51.0,245.0
150.0,870.0
30.0,265.0
86.0,1250.0
90.0,925.0
340.0,6000.0
125.0,1170.0
60.0,349.0
120.0,570.0
485.0,5000.0
70.0,430.0
78.0,679.0
60.0,590.0
29.0,320.0
79.0,799.0
69.0,480.0
103.0,945.0
56.0,650.0
81.0,800.0
70.0,35.0
